Rk,Gtm,Date,Venue,Opp,Rslt,GF,GA,OT,SOGH,PIM,PPGH,PPOH,SHG,SOGA,PIM,PPGA,PPOA,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
1,1,2024-10-09,@,MTL,L,0,1,,48,10,0,4,0,27,8,1,5,0,24,12,66.7,83,32,72.2,63,21,75.0,60.0,96.3
2,2,2024-10-10,@,NJD,W,4,2,,22,10,0,2,0,23,4,1,5,0,26,28,48.1,37,48,43.5,24,27,47.1,44.0,112.4
3,3,2024-10-12,,PIT,W,4,2,,33,8,0,3,0,23,6,1,4,0,25,22,53.2,38,44,46.3,30,27,52.6,40.9,103.3
4,4,2024-10-16,,LAK,W,6,2,,26,8,2,4,0,34,8,0,4,0,33,27,55.0,27,59,31.4,20,45,30.8,33.3,117.6
5,5,2024-10-19,,NYR,L,1,4,,35,4,0,3,0,29,6,0,2,0,27,24,52.9,63,42,60.0,40,33,54.8,47.8,89.9
6,6,2024-10-21,,TBL,W,5,2,,29,17,1,4,0,34,13,1,6,0,17,29,37.0,51,41,55.4,38,28,57.6,27.8,113.2
7,7,2024-10-22,@,CBJ,L,2,6,,28,12,0,3,0,38,10,0,4,0,32,38,45.7,45,55,45.0,29,44,39.7,48.5,94.7
8,8,2024-10-24,,STL,L,1,5,,41,6,0,4,0,27,10,1,2,0,41,19,68.3,61,35,63.5,41,29,58.6,62.5,85.1
9,9,2024-10-26,@,BOS,L,3,4,OT,23,12,0,3,0,34,8,1,5,0,35,23,60.3,41,47,46.6,27,33,45.0,34.8,94.9
10,10,2024-10-28,@,WPG,W,6,4,,36,8,0,2,0,23,4,2,4,0,38,19,66.7,47,35,57.3,37,21,63.8,58.8,99.9
11,11,2024-10-31,,SEA,W,4,1,,30,6,0,2,0,25,4,0,3,0,30,24,55.6,50,42,54.3,30,30,50.0,76.7,108.5
12,12,2024-11-02,@,STL,L,2,4,,37,20,0,4,0,24,20,0,4,0,32,17,65.3,55,32,63.2,40,22,64.5,47.4,90.0
13,13,2024-11-03,@,MIN,L,1,2,OT,28,8,1,2,0,33,6,0,3,0,24,23,51.1,36,60,37.5,26,39,40.0,48.0,93.9
14,14,2024-11-05,,BOS,W,4,0,,27,14,3,7,0,29,16,0,6,0,34,28,54.8,33,35,48.5,25,26,49.0,50.0,100.0
15,15,2024-11-08,,DET,W,3,1,,20,6,2,2,0,22,4,1,3,0,22,29,43.1,44,41,51.8,27,26,50.9,48.3,95.5
16,16,2024-11-09,,MTL,W,4,1,,27,6,2,4,1,21,10,1,2,0,35,27,56.5,26,50,34.2,21,31,40.4,44.1,102.4
17,17,2024-11-12,,OTT,L,0,3,,27,8,0,4,0,41,10,0,3,0,36,31,53.7,28,59,32.2,19,46,29.2,36.7,92.7
18,18,2024-11-13,@,WSH,W,4,3,OT,34,2,1,2,0,27,4,0,1,0,25,29,46.3,54,47,53.5,37,37,50.0,54.8,95.8
19,19,2024-11-16,,EDM,W,4,3,OT,22,17,0,4,0,30,8,1,2,0,19,24,44.2,39,56,41.1,24,34,41.4,35.0,110.0
20,20,2024-11-20,,VEG,W,3,0,,26,12,1,2,0,31,10,0,3,0,24,24,50.0,42,59,41.6,30,34,46.9,44.4,105.9
21,21,2024-11-24,,UTA,W,3,2,,35,4,1,6,0,26,12,1,2,0,33,28,54.1,47,45,51.1,36,35,50.7,43.8,100.6
22,22,2024-11-27,@,FLA,L,1,5,,24,10,1,3,0,24,6,2,5,1,39,26,60.0,34,34,50.0,21,23,47.7,36.7,79.2
23,23,2024-11-30,@,TBL,W,5,3,,29,6,0,1,0,41,2,1,3,0,34,36,48.6,42,46,47.7,28,37,43.1,47.5,107.5
24,24,2024-12-02,,CHI,W,4,1,,22,8,0,2,0,28,4,0,4,0,27,15,64.3,25,51,32.9,22,36,37.9,40.9,114.1
25,25,2024-12-04,,NSH,W,3,2,,28,4,1,3,0,24,6,0,2,0,23,33,41.1,46,46,50.0,31,33,48.4,48.3,100.4
26,26,2024-12-06,,WSH,L,1,3,,21,8,0,2,0,26,4,0,4,0,27,32,45.8,40,55,42.1,28,38,42.4,38.7,95.6
27,27,2024-12-07,@,PIT,L,2,5,,27,10,1,3,0,29,6,2,5,2,18,33,35.3,54,47,53.5,36,28,56.3,52.2,88.0
28,28,2024-12-10,@,NJD,W,2,1,OT,17,8,0,3,1,39,6,0,4,0,29,30,49.2,37,55,40.2,25,36,41.0,32.4,97.4
29,29,2024-12-12,,ANA,W,3,2,,33,2,0,2,0,28,4,1,1,0,34,25,57.6,64,40,61.5,48,30,61.5,58.3,102.5
30,30,2024-12-14,@,DET,L,2,4,,25,6,1,2,0,26,4,0,3,0,23,24,48.9,54,49,52.4,40,35,53.3,36.0,89.2
31,31,2024-12-15,,BUF,W,5,3,,41,4,1,4,0,27,18,1,2,0,38,29,56.7,61,44,58.1,46,40,53.5,63.9,98.3
32,32,2024-12-18,@,DAL,W,5,3,,19,8,0,1,0,39,2,0,4,0,34,30,53.1,32,42,43.2,23,33,41.1,36.7,115.8
33,33,2024-12-20,@,BUF,W,6,3,,29,13,1,3,0,27,15,0,2,0,27,20,57.4,38,45,45.8,33,30,52.4,40.0,105.6
34,34,2024-12-21,,NYI,L,3,6,,29,0,0,0,0,34,0,0,0,0,18,33,35.3,48,67,41.7,35,52,40.2,51.9,93.9
35,35,2024-12-23,,WPG,L,2,5,,25,9,1,3,0,27,11,1,2,0,26,23,53.1,57,31,64.8,39,27,59.1,78.9,86.2
36,36,2024-12-27,@,DET,W,5,2,,23,6,1,3,0,25,6,1,3,0,18,25,41.9,29,44,39.7,24,29,45.3,60.0,114.2
37,37,2024-12-28,,WSH,L,2,5,,37,2,0,2,0,32,4,1,1,0,29,26,52.7,62,52,54.4,44,43,50.6,35.7,90.8
38,38,2024-12-31,,NYI,W,3,1,,25,4,1,4,0,31,20,0,1,0,25,29,46.3,44,46,48.9,31,32,49.2,30.8,105.9
39,39,2025-01-02,@,NYI,W,2,1,,31,6,1,2,0,33,4,0,3,0,30,23,56.6,56,48,53.8,43,36,54.4,66.7,100.4
40,40,2025-01-04,,BOS,W,6,4,,29,4,0,2,0,31,4,0,2,0,30,25,54.5,42,50,45.7,36,39,48.0,25.9,103.8
41,41,2025-01-05,,PHI,W,3,2,OT,25,13,0,1,0,32,9,0,3,0,37,18,67.3,43,52,45.3,32,42,43.2,32.3,102.8
42,42,2025-01-07,@,PHI,W,3,2,,17,13,1,4,0,32,15,0,4,0,30,26,53.6,44,44,50.0,29,36,44.6,54.8,106.3
43,43,2025-01-09,@,CAR,L,3,6,,33,6,1,2,0,34,4,0,3,1,26,27,49.1,54,72,42.9,44,54,44.9,38.5,89.2
44,44,2025-01-11,,VAN,L,0,3,,20,0,0,3,0,18,6,0,0,0,25,24,51.0,51,40,56.0,30,26,53.6,67.7,83.3
